"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","497","Excel Login","","2026-07-02","passed","2026-07-02","","login\Login.spec.ts","",""
"","2858","Login Test","","2026-07-02","failed","2026-07-02","","login\Login.spec.ts","",""
